Linea;Categoria;Familia;Icono
PaaS;Application Development;Oracle Application Container Cloud Service;https://docs.oracle.com/en/cloud/paas/app-container-cloud/sp_common/shared-images/cloudgs_appcontainer.png
PaaS;Application Development;Oracle Java Cloud Service;https://docs.oracle.com/cloud-machine/latest/jcs_gs/dcommon/img/cloudgs_java.png
PaaS;;Oracle Mobile Cloud Service;https://docs.oracle.com/en/cloud/paas/mobile-cloud/sp_common/shared-images/cloudgs_mobile.png
PaaS;;Oracle Visual Cloud Service;https://docs.oracle.com/en/cloud/paas/app-builder-cloud/sp_common/shared-images/cloudgs_appbuilder.png
PaaS;Integration;Oracle Integration Cloud ;https://docs.oracle.com/en/cloud/paas/integration-cloud-service/sp_common/shared-images/cloudgs_integration.png
PaaS;Integration;Oracle SOA Suite Cloud Service;https://docs.oracle.com/middleware/1213/dcommon/img/3-middleware.png
PaaS;;Oracle Internet of Things Cloud;https://docs.oracle.com/en/cloud/paas/iot-cloud/sp_common/shared-images/cloudgs_iot.png
PaaS;;Oracle Process Cloud Service;https://docs.oracle.com/en/cloud/paas/process-cloud/sp_common/shared-images/cloudgs_process.png
PaaS;Data Management;Oracle Database Cloud Service;https://docs.oracle.com/en/cloud/paas/database-dbaas-cloud/sp_common/shared-images/cloudgs_dbaas.png
IaaS;Products;Oracle Cloud Infrastructure;https://docs.oracle.com/en/cloud/sp_common/shared-images/4-cloud.png
IaaS;Products;Oracle Cloud Networking;https://community.oracle.com/community/image/15686/2.png?a=345160
IaaS;Products;Oracle Cloud Storage;https://docs.oracle.com/en/cloud/iaas/storage-cloud/sp_common/shared-images/cloudgs_storage.png
IaaS;Cloud at Customer;Oracle Cloud Machines;https://docs.oracle.com/cloud-machine/latest/stcomputecs/dcommon/img/cloudgs_compute.png
PaaS;Management;;
PaaS;Content and Experience;;
PaaS;Business Analytics;;
PaaS;Security;;
PaaS;;;
